file,text
ROK3_14,давай едь быстрее кто нибудь сделайте что нибудь умник
ROK3_15,кто нибудь сделайте что нибудь что это за ерунда я видел девочек ладно парень ты что то делаешь
ROK3_16,слушай друг я играю на музыкальном инструменте у меня нет бомбы Авили может только сосать самогона
ROK3_17,я слышала что вы хорошо это делаете этой ночью я был с моими девками
ROK3_18,просто дай Вилли соломки солонке этаже тур кулак любви
ROK3_19,где мне взять соломки понятно какая проволока Томми зеленая вода зеленая
ROK3_2,лучше взять большую Томми поменяй каналы дружище
ROK3_20,привет зеленая какая из них похожа на зеленую
ROK3_21,конец смерть в картах все кажется зеленым я должен выгрузить вас
ROK3_22,капиталист я тащу тебя годами заткнись
ROK3_23,большая визжащая девка да заткнись я тебя не проволоку которую эту
ROK3_24,нет мы не хотим взрываться
ROK3_25,друг хороший и мы можем найти телегу и поехать
ROK3_26,сделать ракету оскорбление кулак любви
ROK3_27,мы прикончили эту бутылку
ROK3_3,удивлюсь если не заболит голова смотрите что это a Томми включи эту ленту
ROK3_4,кулак любви время загрязнять эфир закончена я давал вам шанс стать друзьями
ROK3_5,теперь я даю вам возможность умереть попробуйте остановиться и лимузин взорвется с вами задницы
ROK3_6,милый спаси группу у меня утомила просто держи педаль
ROK3_62,мы думали что видимо храм рока
ROK3_63,почувствуй ярость кулака любви
ROK3_64,прислушайся к себе это лента из папье Моше
ROK3_65,это храмы жрецы
ROK3_66,если детишкам нравится их жрецы
ROK3_67,кто я чтобы спорить
ROK3_68,о боже ленту снова зажевала
ROK3_69,на каком уровне мы никогда не сыграем
ROK3_7,нам надо найти бомбу мы не можем просто ездить весь день мы много выпили
ROK3_70,мои киски
ROK3_71,нам надо разобраться с этим спасибо Томми ясно что я говорю хороший пока
ROK3_73,джаз крутит лента
ROK3_8,я боба не может быть в двигателе нам надо остановить его мы все погибнем и не надо выпить
ROK3_9,идут очередь это не комната выпивки убирайся
STRIP_1,у тебя столько нет дешевка
STRIP_2,я тебе нравлюсь больше чем остальные девушки
STRIP_3,потанцуем
STRIP_4,хочешь хорошо провести время
STRIP_5,какой ты большой я таких люблю
STRIP_6,мне нравится эта музыка
STRIP_7,эй красавчик
STRIP_8,о чем ты думаешь милый
STRIP_9,ты что совсем один
TAX1_1,хорошо у нас есть первоклассная
TAX1_2,вот Томми я это беру
TAX1_3,это моя плата назад задница
TAX1_4,давай давай начинай быстро
TAX1_5,хорошо только не обзывайся
TAX2_1,машина
TAX2_2,продолжай заходите нас у них очень много машин мы не можем конкурировать
TAX2_3,пойди туда послушать том и обанкротился
TAX2_4,давай
TAX2_5,с ним
TAX2_6,у него даже нет прав
TAX2_7,проклятый лимузины
TAX3_1,13
TAX3_2,окей вот так машины 13 нет
TAX3_3,не видно мерседес
TAX3_4,а теперь пришла очередь ангелу стражу кауфман caps есть крыло
TAX3_5,приятель я разобью твою логово
TEX1_1,возьмите костюмы для гольфов Джок sports
TEX1_2,в гольф клубы
TEX1_3,ребят разбились
TEX1_5,слушай
TEX1_6,классная задница
TEX3_1,сброс 4 пункта предназначенных для разрушения
TEX3_2,сбрось
TEX3_3,направить вертолет арсина bobo bobo
TEX3_4,нажми кнопку сбрось бомбу
TEX3_5,что ты неудачно положу боба попробуй снова
TEX3_6,если ты поднял бобов 1 раз в то включается взрывной хрома
TEX3_7,утесов 8 минут
TEX3_8,ты не попал в цель подняли бабуль попробуй снова
ass_1,матерь божья где же ты это все достало на всякий пожарный еще бы
ass_10,действительно неплохая тройная граница
ass_11,можно мне комната с видом на залив
ass_12,здесь просто прекрасные потолки
ass_13,где я пришел заводить своим бизнесом
ass_14,ты предал меня ты идиот я убью тебя
ass_3,прикрой меня
ass_4,где сейчас должен быть внутри
ass_5,Ланс
ass_6,иди там я справлюсь
ass_7,вот получите мерзкий убийцей
ass_8,меня прижали
ass_9,я прикрываю тебя Томми
band_01,неплохие у тебя бандюги
band_02,алабай
band_03,а я и целая куча дерьма
band_04,зорро моя жизнь бессмысленна
band_05,скачать амиго
band_06,у тебя хорошие ребята амиго
band_07,сомбреро это нечто особенное амиго
band_08,сегодня неплохой день чтобы умереть гамбургер с сыром
bike1_2,неплохо приятель
bike1_3,ты называешь себя байкерам а где ты говнюк
bk4_14b,все готово
bk4_23b,дайте мне 5 минут
bk4_23c,дайте мне 10 минут
bk4_23d,дайте мне 10 минут
bk4_31b,Томми подвал открыт
bk4_40b,я устрою взбучку
bnk2_9,думаю тебе надо хорошенько потренироваться так ты ничего не подстрелят
bnk3_4a,конечно же ты Томми зачем еще кому нибудь говорить со мной
bnk3_4b,ладно значит так я поеду за тебя если и только если ты сможешь водить машину как следует
bnk3_4c,оставишь меня 1 я тебя никогда этого не прощу
bnk422b,кем
bnk4_39,где Хиллари
bnk4_41,выключи
bnk4_4b,здесь не глуши моторы
bnk4_95,Хиллари найди другую тачку
bnk4_96,лучше их найти
bnk4_97,8 лет
bnk4_98,куда подевался
bnk4_99,где кем
bud1_1,мой дом разрушен
bud1_10,теперь я хозяин города а я
bud1_2,разрушен
bud1_3,я плачу за защиту
bud1_4,моя прекрасная витрина
bud1_5,магазин мой прекрасный магазин
bud1_9,версетти запомни это имя
bud2_1,садись в машину
bud2_2,вашей защите нужно еще немного защиты
bud2_3,не надо мне не нужна эта ерунда
bud2_4,эти идиоты уничтожили базу данных в квартале
bud2_5,ребята просто отсортируйте их
bud2_6,увидимся позже
bud2_7,да да в любое время
bud3_1,свяжи их использовать лет
bud3_1a,как привлечь внимание
bud3_1b,тебе не сильно разозлятся
bud3_1c,полегче брат копы так не ездят
bud3_2,а что надо
bud3_3,немного потуже между ног
bud3_4,да мне тоже мне тоже
bud3_5,помни улыбайся другим копам
bud3_6,офицер красивый значок хорошие значок
bud3_7,очень вежливо lens
bud3_8a,так таймер установлен до взрыва 5 секунд
bud3_8b,таймер установлен надо взрывать 10 секунд
bud3_8c,так таймеры установленные давай 15 секунд
bud3_9a,5 секунд нам надо быстро убираться отсюда
bud3_9b,10 секунд нам надо быстро убираться отсюда
bud3_9c,15 секунд нам надо быстро убираться отсюда
burg_01,наслаждайся
burg_02,из переработанных отходов
burg_03,не задавай пользоваться всеми коровами
burg_04,подходим к делу
burg_05,все в порядке
burg_06,свежие титьки
burg_07,дешевка
burg_08,вам понравится
burg_09,пират
burg_10,какой ужас
burg_11,как насчет кисок
burg_12,вам понравится утром он был еще жив
bust_01,Томми версетти ни в чем не виновен
bust_02,профессор неужели вы думаете что могли способен на такое
bust_03,я здесь
bust_04,не всем не виновен и вы это знаете
bust_05,он похож на подозреваемого но это не значит что он действительно виновен
bust_06,либо ты сейчас будешь свободен либо у вас будут проблемы
bust_07,кстати добрый порядочный человек но ему не понравится если его назовут убийцей офицер 2
bust_08,профессор Томми версетти повестка не приходила
bust_09,который я никогда не было оружие как это сделать отпустите его
bust_10,вы все прекрасно знаем что
bust_11,я свободен а ты приятель можно попросить повышения
bust_12,это еще не значит что именно он это сделал
bust_13,я тебе должен быть свободен
bust_14,у себя под носом ничего не видите что происходит немедленно отпустите моего клиента
bust_15,все это чушь
bust_16,офицер ну что вы мне рассказываете поищите у себя другую работу
bust_17,сержант полански многим мне обязан
bust_18,очень важная персона и ему не понравится такие голословные обвинения
bust_19,все ваши улики косвенные и вы это знаете
bust_20,закон во всем разберется офицера не надо сейчас ваших обвинении
bust_21,поговорим о свободе человека
bust_22,офицер не злите меня вы ничем не можете доказать ваших слов
bust_23,ваше мнение просто слова и вы это знаете
bust_24,клиента
bust_25,мой клиент не виновен
bust_26,вы думаете что это прокатит в суде
bust_27,офицер но он же ни в чем не виновен
bust_28,если мне придется подать в суд за незаконные действия полиции я это сделаю
cnt1_3,кто то проник на корабль
cnt1_4,молчать
cnt1_5,защищать офицера
cok210a,мы сделаем пару проездов
cok210b,так что внимайте столько пушек сколько сможете
cok210c,потом я с вами разберусь
cok212a,вы называете музыкой
cok212b,да мне это нравится
cok2_7a,открой ребята попробуйте погасить огни
cok2_7b,куда бы черт возьми направляемся
cok2_7c,остров креветок
cok2_8a,тебе лучше стрелять а не говорить
cok2_8b,спасибо ты сегодня самование
cok2_8c,я знаю в доме
cok2_8d,Ланс ванс чистокровный ублюдок
cok_4b,из них я запускаю двигатель кто у нас появились новые друзья
col1_1,у него нож
col1_2,прочь от меня подарок
col1_3,святой Иисус я испоганил свою жизнь лицо
col1_4,я заплачу вдвойне вдвойне
col1_5,я сейчас заткну этот ваш большой рот
col1_6,хватит бежать толстая свинья
col1_7,не двигатель что будет быстро
col1_8,хватит курить а то никого не трогая толстяк
col2_10,круто
col2_11,мой мотоцикл
col2_12,включи поведение не нужны малыш
col2_13,это своего рода противоядие
col2_14,ты должен стараться лучше
col2_15,съел мою долю
col2_16,ты жирная американская сволочь
col2_7,пристрелить его
col2_8,пулями
col3_1,вот это мне нравится
col3_10,ее заставляют меня отказаться
col3_11,ты что хочешь убить меня
col3_12,все благодаря тебе как тебя зовут дружище
col3_13,у меня
col3_14,надеюсь мы скоро увидимся
col3_15,это blondes
col3_16,ублюдки
col3_17,привет
col3_18,увидимся
col3_19,черт
col3_2,слушай если тебе нечего делать тогда покажи мне на что ты способен
col3_20,черт
col3_21,у меня осталось 10 присмотрю за диасом
col3_23,говорить а не думает что смогут взять Рикардо диаза
col3_24,мои деньги
col3_25,не стойте там черте отправляйтесь за этим гаитянском тюрьма
col3_2a,я могу это сделать меня зовут Ланс кстати
col3_2b,кто мэр Сочи
col3_3,новый человек Кортеса
col3_4,возникают боли удачный случай
col3_5,Алиса сейчас слушайте хорошую точку наблюдения
col3_6,балкон а у тебя крыша напротив двора
col3_7,в чем дело давай Данила крышу пока не появились
col3_8,ну что подруга
col3_9,я тебя прикрою
crust01,жри свой сервер
crust02,сегодня у нас promotion сыра
crust03,3 сырных combo приятного аппетита
crust04,фирменное блюдо с сыром
crust05,пожалуйста сыром
crust06,пожалуйста сэр
crust07,сосиски с временным сыром
crust08,вы только посмотрите на корочку
crust09,приятного аппетита
cub1_1,не плохо это настоящий мужик
cub1_2,ты крутой чувак
cub1_3,ты клевый чувак
cub1_4,и вы себя называете мужиком
cub1_5,вы маленький напуганный котенок малыш позовите свою маму
cub1_6,вы просто зря загрязнять воздух охоте как мужик как мужик новый воде как идиот
cub1_7,черт новый и мужик вы мне нравитесь вы мне сильно нравитесь
cub1_8,в любое время потому что у вас есть достоинство у всех моих друзей есть большое достоинство
cub1_9,эй чувак это ты здесь крутой
cub2_1,недостаточно места да вам нужна большая машина
cub2_2,мы будем драться как мужики
cub2_3a,хорошо что вы смогли справиться
cub2_3b,смердящее гнездо гаитянски моих всех убьем
cub2_3c,вот такого
cub2_4a,дерись как мужик с большими яйцами
cub2_5,на крыше снайперы
cub2_6,они дерутся как девчонки пукаете
cub2_7,нам нужна подмога
cub2_8,с немецкого снайпера
cub2_9,ну ребята заряжайте
cub3_1,что такое
cub3_2,река хорошая лодка вы готовы
cub3_3,сегодня вы развлекаетесь
cub3_4,лодка напал на дыр понятно
cub4_1,растворитель за вами омега
cub4_2,Хола амигос
cub4_3,война гаитян будто смарта
cub4_4,ланос
cub4_5,именно ванос
cub4_5a,нам нужна машина банды гайтана
cub4_6,давайте найдем наших молча сейчас
cub4_7,иди за моими ребятами
cub4_8,ну и Диана
cub4_9,я заложил бомбу прикройте меня
fud_01,приятного аппетита
fud_02,приятного вам дня
fud_03,хорошо сегодня
fud_04,приходите еще
fud_05,приятного аппетита
fud_06,сегодня отличный день сэр
fud_07,пожалуйста
fud_08,мистер ваш заказ
fud_09,пожалуйста
fud_10,вот пожалуйста
fud_11,хорошо хорошо ваш заказ
fud_12,вот ваш заказ
fud_13,надеюсь вам понравится
fud_14,приходите еще
fud_15,ищи для джентельменов
fud_16,удачного дня мистер
fud_17,приходите еще
fud_18,наше фирменное блюдо сэр
fud_19,а вот ваш заказ
fud_20,надеюсь вам понравится
gimme01,дай ка мне
gimme02,дай что нибудь пожрать
gimme03,ну давай чего нибудь
gimme04,хочу фирменное блюдо
gimme05,здесь можно что нибудь пожрать
gimme06,я хочу есть
gimme07,дай что нибудь пожрать
gimme08,я голоден
gimme09,приятель принеси что нибудь перекусить
gimme10,ты мне принесешь что нибудь
gimme11,я хочу есть
gimme12,принеси мне пожрать
gimme13,херня блюда
gimme14,решать обслуживаешь или гуляешь неси мне хавку
gimme15,эй Парниша я голоден
golf_1,нет оружия проносить нельзя
golf_2,сюда допускается только члены клуба и обслуживающий персонал
golf_3,пушки придется оставить здесь
hot4,верю
hot6,верю
job1_1b,ваша помощь помогла
job1_1c,у меня есть еще для вас работа с практическим доходом
job1_1d,следующее задание под телефоном
job2_1b,поздравляю мой клиент доволен
job2_2,о боже
job2_3,боже
job2_4,помогите
job2_5,о боже
job2_6,о боже
job2_7,помогите кто нибудь
job2_8,боже
job2_9,о боже
job3_1,нападение на банков vice city работодатели хотели бы чтобы этого не произошло
job3_2,у каждого члена банды будет находиться здесь vice city
job3_3,возможно местонахождение обнаружено при помощи телефона
job4_1,время заварить рыбку побольше мистер дебил справа от вас находится винтовка
job4_2,на балконе регистрации сквозь толпу из просит у кого нибудь сколько времени
job4_3,мы должны убить этого человека при помощи телефона
job5_1,дорогой обмен происходит на крыше компании мороженного через opera
job5_2,кто будет
job5_3,порода которые ведут к обратной стороне завода
lanamu1,в этом городе ты должен понять 1 вещь и тебя тут будет очень жарко
lanamu2,давай оружейный магазин в поликлад Салават суда
lanstp1,что ли каждому человеку нужен маленький рнб
lanstp2,клуб вы можете захочу тебя войти
law2_8,что ты делаешь
law2_9,и куда теперь
law3_10,все это не закончен
law3_18,какого черта
law3_19,как не хорошо
law3_22,да
law3_25,прочь с дороги
law4_1a,разойдитесь правления будет обсуждать все жалобы соответствующим образом
law4_1b,разойдетесь Витя к себе домой
law4_1c,разойдитесь это неуместно
law4_1d,разойдитесь пожалуйста вы кончить и жить на улице
mob_17e,правда
mob_45a,разговор
mob_45b,lets
mob_45c,вдруг мне кажется что ты не дал мне все и доли
mob_45d,вот и подставила меня перед парнями я не могу этого так оставить
mob_45e,все совсем не так ты ошибаешься
mob_45f,я не твой мальчик на побегушках
mob_45g,у нас не будет проблем в любое время к твоим услугам
mob_45h,я тебе доверяла а ты держишь меня за дурака не надо то ли
mob_45i,а у тебя и не подставлял понял просто поверь
mob_45j,я знаю это трудно у тебя
mob_45k,меня слышишь
mob_45l,у тебя толя но не верю
mob_45m,ты не прав я тебя предупредил ты понял меня
mob_45n,расслабься отдохни пару дней окей потом поговорим
mob_46a,lens
mob_46b,да
mob_46c,рад тебя слышать только прошу спокойно
mob_46d,что тебе нужно
mob_46e,Томми мы можем сделать это
mob_46f,понимаешь о чем я
mob_46g,что сделать если бы не собирается умереть lens
mob_46h,сейчас мы далеко друг от друга спасибо за звонок еще поговорим
mob_52C,где ты сейчас
mob_52a,думаю мы нашли диасу покупателя
mob_52b,заключили сделку понял
mob_52d,что с твоим голосом ты в порядке
mob_52e,просто скажи мне где
mob_52f,кто ты черт тебя подери где лево
mob_52g,у немного выше
mob_52h,да пошел ты
mob_54a,привет как дела
mob_54b,привет как дела
mob_54c,привет как дела
mob_54d,звучит заманчиво я тебе найду
mob_54e,как дела
mob_55a,да
mob_55b,привет
mob_55c,мне скучно может развлечемся
mob_55d,что ты имеешь ввиду
mob_55e,избиение убийства и подкуп
mob_55f,не забывай меня
mob_56a,говорят ты убила Рикардо делся
mob_56b,загорелся
mob_56c,вот он сгорел
mob_56d,я горжусь тобой ты настоящий мужчина
mob_56e,спасибо грязным человеком я рада что я твой друг
mob_56f,но не забывай обо мне хорошо
mob_57a,очень очень скучно
mob_57b,приходи ко мне во рту
mob_57c,Томми и разлюбила тебя
mob_57d,потому что ты мне уже надоела ты будешь ко мне как
mob_57e,игнорируешь меня
mob_58a,да
mob_58b,мерседес
mob_58c,мистер крутой пацан я правда очень зла на тебя
mob_58d,у меня будет
mob_58e,собачки которая и которая не любила его мамочка
mob_58f,он носит парик и лифчик
mob_58g,огорчаешь меня очень очень зла прощай
mob_61a,анатомия ты что больше не хочешь знать Рикардо
mob_61b,приходи ко мне когда мне надо будет кого нибудь подстрелить
mob_71a,метро карта
mob_71b,все в порядке как дела дружище
mob_71c,я хотел спросить как там мерседес
mob_71d,нормально
mob_71e,я слышала уже столько всяких слухов что не знаю что даже и думать
mob_71f,что может делать все что захочешь правда ли это
mob_71g,что именно
mob_71h,ну то что она хочет стать адвокатом
mob_71i,какой позор какой позор
mob_71j,я не хочу чтобы моя душа скажи мне что это правда
mob_71k,полковник чем подобном
mob_71l,спасибо спасибо я бы не принес такого позора
mob_71m,ну ладно извини то что ты министр
mob_71n,когда то я пришел так что теперь мне придется быть повежливее но все пока амиго
mono10,этот говнюк думают что может потягаться со мной да я порву его на немецкий крест
mono11,идиот тк возможность расправиться с диасом
mono12,что да кем он себя возомнил
mono13,меня не интересует кто он такой почему нельзя найти нормальных людей
mono14,когда твой лучший друг адвокат тогда успех в делах тебе обеспечен
mono15,ну ладно придется еще немного дерьма раскидать кажется понял кем я был в прошлой жизни
mono16,последнее что мне было нужно так именно вот это посмотрим к чему это приведет
mono_1,чем он себя возомнил что думает что высоко взлетел
mono_2,как только будем готовые отправлю на север свой фальшивый товар
mono_3,почему все хотят все на шару так не получится
mono_4,что посмотрим что у нас здесь
mono_5,какая симпатичная леди и все что таким нужно деньги мороженое
mono_6,это ребята мой новый друг
mono_7,ну что за дела
mono_8,кто они эти ублюдки адвокатский ублюдки окруженные такими же уродами
mono_9,где сейчас что посмотрим как теперь пойдут дела
phil1_2,а это кто так ездят
phil1_3,ой
phil210,это прекрасно это красиво но так холодно
phil2_1,не в больнице слишком много копов вьетконговцев
phil2_2,есть один военный хирург который должен мне пару слуг и газонокосилку
phil2_3,он засел в малой Гаване смотрите огромная рыба
phil2_4,осторожно Чарли
phil2_5,со мной проблемы или дороги скользкие
phil2_6,сломанная ложка для матушки
phil2_7,пони Мони Бобо
phil2_8,он пришел за мной
phil2_9,черные крылья хлопают повсюду
piss_01,пицца доставляется свежеиспеченный
piss_02,эй приятель пицца
piss_03,мистер мы делаем доставку быстро
piss_04,чего же ты ждешь займись доставкой пиццы
piss_05,я знаю что ты не хотел стать разносчиком пиццы но меня это не волнует
piss_06,доставят
piss_07,это нужно развести
piss_08,ну давай займись доставкой пиццы
piss_09,заказчики не любят ждать
piss_10,чего ты ждешь давай берись за дело
piss_11,ну за работу
piss_12,эту пицца нужно доставить на дом заказчикам
piss_13,на возьми
piss_14,давай омега доставь это побыстрей очко
piss_15,ну чего медлишь за работу
piss_16,ну чего ты ждешь давай принимайся за работу
piss_17,нечего терять время попусту
piss_18,давай за работу лентяй
piss_19,ты никогда не получишь повышение если не будешь по проворнее
porn1_1,кенди я еще звезду сечешь
porn1_2,конечно но сперва я поговорил со своим агентом
porn1_3,что ты делаешь
porn1_4,мерседес
porn1_5,привет томе соскучился по вечеринки
porn1_6,ну что крошки хотите сняться
porn1_7,конечно если за это заплатят
porn1_8,отлично я беру вас садитесь
porn1_9,ты умеешь ты что пришел сюда разняться
porn3_1,кэнди кэнди можешь называть меня Мартином
porn3_2,Алекс да конечно как скажешь
porn3_3,Мартин как здорово
porn3_4,дай мне камеру
prn1_10,может чуть позже малышка
prn1_11,ух ты какая акула
prn1_12,София
prn1_13,ты куда а ну вернись
prn1_14,ты куда
prn1_15,и когда мы вместе проведем время
prn1_16,идем
prn1_17,не будь осторожен мои имплантанты еще плохо держится
prn1_18,и ты называешь это вождение
prn1_19,и как это называется
prn1_20,ты что пытаешься меня убить я же звезда
prn1_21,ты можешь в это поверить
prn1_3a,надо было оставаться сегодня дома
race11,нет
race6,вызывай
race7,ой
resc_10,надо наведаться где осу
resc_1a,шаверма масштаб тебе парень сериал
resc_9,ты уверен что тебе удастся с этим уйти
rok1_1b,это для лав Фист
rok2_01,есть
shaft01,блюда с фирменным саусем
shaft02,вот это вам понравится
shaft03,давай пожалуйста
shaft04,горячие сосиски сыр
shaft05,ватсап пожалуйста
shaft06,а вот наши фирменные сосиски
shaft07,давай пожалуйста
shaft08,мне нравится это
shark_1,где мои бабки
shark_2,козел
shark_4,готовь бабки
shark_5,я же говорил тебе готовь бабки
star_1,сынок я же говорил что это частное общество
star_2,извини но это только для гостей проживающих
star_3,добро пожаловать мистер сеть рад снова вас видеть
star_4,Томми версетти mister d осужденного Сар
stripa,найди
tex1_4,отлично у тебя зад
tex2_1,ты убил Франсуа
